"","Client ID","Cluster Number"
"399",50399,2
"400",50400,3
"401",50401,2
"402",50402,7
"403",50403,7
"404",50404,1
"405",50405,2
"406",50406,2
"407",50407,5
"408",50408,2
"409",50409,2
"410",50410,2
"411",50411,8
"412",50412,5
"413",50413,4
"414",50414,2
"415",50415,4
"416",50416,8
"417",50417,7
"418",50418,4
"419",50419,4
"420",50420,7
"421",50421,6
"422",50422,2
"423",50423,2
"424",50424,2
"425",50425,2
"426",50426,3
"427",50427,6
"428",50428,4
"429",50429,2
"430",50430,2
"431",50431,7
"432",50432,7
"433",50433,6
"434",50434,2
"435",50435,2
"436",50436,7
"437",50437,6
"438",50438,4
"439",50439,2
"440",50440,3
"441",50441,6
"442",50442,7
"443",50443,2
"444",50444,7
"445",50445,7
"446",50446,5
"447",50447,4
"448",50448,2
"449",50449,7
"450",50450,3
"451",50451,2
"452",50452,3
"453",50453,2
"454",50454,2
"455",50455,5
"456",50456,8
"457",50457,2
"458",50458,2
"459",50459,3
"460",50460,3
"461",50461,2
"462",50462,7
"463",50463,4
"464",50464,7
"465",50465,2
"466",50466,5
"467",50467,5
"468",50468,3
"469",50469,8
"470",50470,7
"471",50471,3
"472",50472,3
"473",50473,6
"474",50474,7
"475",50475,2
"476",50476,1
"477",50477,4
"478",50478,7
"479",50479,2
"480",50480,7
"481",50481,2
"482",50482,2
"483",50483,8
"484",50484,6
"485",50485,4
"486",50486,3
"487",50487,5
"488",50488,7
"489",50489,2
"490",50490,2
"491",50491,3
"492",50492,7
"493",50493,5
"494",50494,7
"495",50495,7
"496",50496,2
"497",50497,7
"498",50498,2
"499",50499,7
"500",50500,7
"501",50501,7
"502",50502,4
"503",50503,7
"504",50504,2
"505",50505,2
"506",50506,5
"507",50507,5
"508",50508,4
"509",50509,7
"510",50510,8
"511",50511,8
"512",50512,5
"513",50513,3
"514",50514,7
"515",50515,8
"516",50516,2
"517",50517,2
"518",50518,2
"519",50519,2
"520",50520,2
"521",50521,3
"522",50522,8
"523",50523,2
"524",50524,7
"525",50525,6
"526",50526,8
"527",50527,5
"528",50528,2
"529",50529,2
"530",50530,2
"531",50531,6
"532",50532,6
"533",50533,7
"534",50534,7
"535",50535,7
"536",50536,8
"537",50537,2
"538",50538,7
"539",50539,7
"540",50540,2
"541",50541,6
"542",50542,5
"543",50543,2
"544",50544,2
"545",50545,1
"546",50546,4
"547",50547,8
"548",50548,4
"549",50549,1
"550",50550,5
"551",50551,2
"552",50552,2
"553",50553,3
"554",50554,2
"555",50555,2
"556",50556,2
"557",50557,6
"558",50558,8
"559",50559,3
"560",50560,6
"561",50561,1
"562",50562,7
"563",50563,2
"564",50564,2
"565",50565,3
"566",50566,6
"567",50567,3
"568",50568,2
"569",50569,3
"570",50570,2
"571",50571,8
"572",50572,3
"573",50573,3
"574",50574,5
"575",50575,4
"576",50576,2
"577",50577,8
"578",50578,2
"579",50579,2
"580",50580,5
"581",50581,1
"582",50582,2
"583",50583,2
"584",50584,7
"585",50585,7
"586",50586,2
"587",50587,2
"588",50588,2
"589",50589,2
"590",50590,8
"591",50591,2
"592",50592,5
"593",50593,8
"594",50594,4
"595",50595,2
"596",50596,3
"597",50597,7
"598",50598,8
"599",50599,8
"600",50600,4
"601",50601,2
"602",50602,2
"603",50603,2
"604",50604,3
"605",50605,6
"606",50606,5
"607",50607,6
"608",50608,5
"609",50609,1
"610",50610,7
"611",50611,4
"612",50612,5
"613",50613,2
"614",50614,7
"615",50615,8
"616",50616,2
"617",50617,2
"618",50618,2
"619",50619,4
"620",50620,2
"621",50621,8
"622",50622,4
"623",50623,2
"624",50624,2
"625",50625,2
"626",50626,2
"627",50627,1
"628",50628,4
"629",50629,2
"630",50630,7
"631",50631,2
"632",50632,7
"633",50633,3
"634",50634,2
"635",50635,4
"636",50636,7
"637",50637,7
"638",50638,3
"639",50639,7
"640",50640,4
"641",50641,6
"642",50642,2
"643",50643,2
"644",50644,7
"645",50645,2
"646",50646,3
"647",50647,7
"648",50648,7
"649",50649,8
"650",50650,3
"651",50651,6
"652",50652,7
"653",50653,3
"654",50654,8
"655",50655,2
"656",50656,1
"657",50657,2
"658",50658,7
"659",50659,7
"660",50660,3
"661",50661,2
"662",50662,4
"663",50663,2
"664",50664,2
"665",50665,7
"666",50666,3
"667",50667,3
"668",50668,4
"669",50669,3
"670",50670,3
"671",50671,5
"672",50672,4
"673",50673,4
"674",50674,5
"675",50675,7
"676",50676,2
"677",50677,8
"678",50678,2
"679",50679,6
"680",50680,3
"681",50681,4
"682",50682,2
"683",50683,7
"684",50684,3
"685",50685,7
"686",50686,4
"687",50687,2
"688",50688,6
"689",50689,3
"690",50690,1
"691",50691,2
"692",50692,2
"693",50693,6
"694",50694,7
"695",50695,8
"696",50696,2
"697",50697,2
"698",50698,2
"699",50699,7
"700",50700,3
"701",50701,3
"702",50702,2
"703",50703,4
"704",50704,7
"705",50705,2
"706",50706,6
"707",50707,7
"708",50708,3
"709",50709,7
"710",50710,6
"711",50711,3
"712",50712,4
"713",50713,2
"714",50714,5
"715",50715,4
"716",50716,6
"717",50717,5
"718",50718,7
"719",50719,3
"720",50720,2
"721",50721,7
"722",50722,3
"723",50723,7
"724",50724,3
"725",50725,4
"726",50726,2
"727",50727,7
"728",50728,4
"729",50729,1
"730",50730,4
"731",50731,2
"732",50732,6
"733",50733,2
"734",50734,2
"735",50735,7
"736",50736,1
"737",50737,3
"738",50738,4
"739",50739,1
"740",50740,1
"741",50741,7
"742",50742,7
"743",50743,2
"744",50744,2
"745",50745,7
"746",50746,6
"747",50747,6
"748",50748,2
"749",50749,7
"750",50750,7
"751",50751,3
"752",50752,4
"753",50753,7
"754",50754,2
"755",50755,2
"756",50756,2
"757",50757,2
"758",50758,5
"759",50759,3
"760",50760,5
"761",50761,2
"762",50762,2
"763",50763,7
"764",50764,2
"765",50765,6
"766",50766,4
"767",50767,3
