"","Client ID","Cluster Number"
"456",456,8
"457",457,2
"458",458,2
"459",459,6
"460",460,7
"461",461,2
"462",462,7
"463",463,5
"464",464,1
"465",465,4
"466",466,7
"467",467,7
"468",468,2
"469",469,3
"470",470,6
"471",471,5
"472",472,4
"473",473,4
"474",474,4
"475",475,5
"476",476,2
"477",477,8
"478",478,7
"479",479,2
"480",480,2
"481",481,2
"482",482,2
"483",483,2
"484",484,2
"485",485,3
"486",486,7
"487",487,2
"488",488,8
"489",489,7
"490",490,2
"491",491,7
"492",492,4
"493",493,2
"494",494,1
"495",495,5
"496",496,3
"497",497,2
"498",498,4
"499",499,5
"500",500,7
"501",501,2
"502",502,2
"503",503,3
"504",504,4
"505",505,6
"506",506,1
"507",507,3
"508",508,1
"509",509,7
"510",510,2
"511",511,2
"512",512,2
"513",513,2
"514",514,2
"515",515,4
"516",516,3
"517",517,8
"518",518,1
"519",519,4
"520",520,4
"521",521,2
"522",522,8
"523",523,2
"524",524,2
"525",525,3
"526",526,2
"527",527,2
"528",528,5
"529",529,7
"530",530,2
"531",531,3
"532",532,4
"533",533,2
"534",534,4
"535",535,2
"536",536,3
"537",537,7
"538",538,6
"539",539,2
"540",540,2
"541",541,4
"542",542,5
"543",543,7
"544",544,7
"545",545,3
"546",546,3
"547",547,3
"548",548,7
"549",549,2
"550",550,2
"551",551,7
"552",552,2
"553",553,2
"554",554,2
"555",555,7
"556",556,8
"557",557,5
"558",558,5
"559",559,5
"560",560,6
"561",561,2
"562",562,7
"563",563,2
"564",564,2
"565",565,1
"566",566,2
"567",567,1
"568",568,2
"569",569,4
"570",570,7
"571",571,2
"572",572,6
"573",573,1
"574",574,2
"575",575,2
"576",576,7
"577",577,3
"578",578,3
"579",579,5
"580",580,7
"581",581,7
"582",582,2
"583",583,7
"584",584,2
"585",585,4
"586",586,8
"587",587,7
"588",588,7
"589",589,2
"590",590,2
"591",591,6
"592",592,4
"593",593,2
"594",594,8
"595",595,7
"596",596,7
"597",597,7
"598",598,2
"599",599,1
"600",600,6
"601",601,7
"602",602,7
"603",603,7
"604",604,4
"605",605,4
"606",606,6
"607",607,3
"608",608,3
"609",609,8
"610",610,7
"611",611,8
"612",612,4
"613",613,4
"614",614,2
"615",615,2
"616",616,6
"617",617,6
"618",618,2
"619",619,2
"620",620,4
"621",621,2
"622",622,7
"623",623,6
"624",624,3
"625",625,1
"626",626,8
"627",627,6
"628",628,6
"629",629,2
"630",630,7
"631",631,2
"632",632,1
"633",633,4
"634",634,2
"635",635,2
"636",636,6
"637",637,4
"638",638,7
"639",639,7
"640",640,2
"641",641,7
"642",642,2
"643",643,3
"644",644,7
"645",645,5
"646",646,7
"647",647,2
"648",648,4
"649",649,7
"650",650,1
"651",651,2
"652",652,2
"653",653,3
"654",654,7
"655",655,7
"656",656,4
"657",657,3
"658",658,5
"659",659,5
"660",660,6
"661",661,7
"662",662,2
"663",663,4
"664",664,2
"665",665,2
"666",666,6
"667",667,6
"668",668,3
"669",669,2
"670",670,5
"671",671,2
"672",672,2
"673",673,6
"674",674,2
"675",675,7
"676",676,3
"677",677,2
"678",678,2
"679",679,7
"680",680,2
"681",681,2
"682",682,2
"683",683,7
"684",684,2
"685",685,7
"686",686,6
"687",687,8
"688",688,6
"689",689,7
"690",690,7
"691",691,2
"692",692,7
"693",693,7
"694",694,6
"695",695,4
"696",696,3
"697",697,7
"698",698,7
"699",699,5
"700",700,1
"701",701,8
"702",702,4
"703",703,2
"704",704,2
"705",705,2
"706",706,3
"707",707,7
"708",708,1
"709",709,7
"710",710,7
"711",711,2
"712",712,8
"713",713,7
"714",714,2
"715",715,1
"716",716,8
"717",717,5
"718",718,8
"719",719,4
"720",720,2
"721",721,2
"722",722,5
"723",723,3
"724",724,5
"725",725,2
"726",726,3
"727",727,2
"728",728,2
"729",729,4
"730",730,8
"731",731,1
"732",732,3
"733",733,2
"734",734,8
"735",735,2
"736",736,2
"737",737,7
"738",738,7
"739",739,1
"740",740,2
"741",741,5
"742",742,6
"743",743,3
"744",744,2
"745",745,7
"746",746,7
"747",747,5
"748",748,3
"749",749,2
"750",750,1
"751",751,7
"752",752,2
"753",753,3
"754",754,7
"755",755,6
"756",756,2
"757",757,3
"758",758,2
"759",759,2
"760",760,2
"761",761,7
"762",762,2
"763",763,2
"764",764,3
"765",765,2
"766",766,2
"767",767,3
"768",768,7
"769",769,2
"770",770,3
"771",771,2
"772",772,2
"773",773,7
"774",774,5
"775",775,2
"776",776,2
"777",777,3
"778",778,2
"779",779,2
"780",780,4
"781",781,4
"782",782,3
"783",783,6
"784",784,7
"785",785,6
"786",786,7
"787",787,7
"788",788,2
"789",789,2
"790",790,2
"791",791,3
"792",792,8
"793",793,3
"794",794,4
"795",795,8
"796",796,2
"797",797,5
"798",798,2
"799",799,2
"800",800,6
"801",801,1
"802",802,7
"803",803,4
"804",804,2
"805",805,1
"806",806,8
"807",807,2
"808",808,6
"809",809,4
"810",810,2
"811",811,1
"812",812,4
"813",813,6
"814",814,2
"815",815,4
"816",816,2
"817",817,4
"818",818,2
"819",819,2
"820",820,2
"821",821,2
"822",822,1
"823",823,5
"824",824,7
"825",825,4
"826",826,6
"827",827,3
"828",828,2
"829",829,2
"830",830,5
"831",831,2
"832",832,3
"833",833,2
"834",834,2
"835",835,1
"836",836,7
"837",837,4
"838",838,2
"839",839,6
"840",840,7
"841",841,4
"842",842,6
"843",843,4
"844",844,4
"845",845,3
"846",846,2
"847",847,4
"848",848,8
"849",849,8
"850",850,2
"851",851,1
"852",852,7
"853",853,1
"854",854,7
"855",855,4
"856",856,2
"857",857,2
"858",858,4
"859",859,2
"860",860,7
"861",861,2
"862",862,2
"863",863,6
"864",864,3
"865",865,6
"866",866,3
"867",867,4
"868",868,7
"869",869,2
"870",870,7
"871",871,7
"872",872,2
"873",873,7
"874",874,7
"875",875,2
"876",876,7
"877",877,8
"878",878,7
"879",879,7
"880",880,6
"881",881,3
"882",882,7
"883",883,1
"884",884,2
"885",885,3
"886",886,7
"887",887,2
"888",888,8
"889",889,6
"890",890,2
"891",891,3
"892",892,8
"893",893,3
"894",894,2
"895",895,1
"896",896,6
"897",897,2
"898",898,2
"899",899,3
"900",900,7
"901",901,2
"902",902,5
"903",903,7
"904",904,5
"905",905,2
"906",906,2
"907",907,8
"908",908,2
"909",909,2
"910",910,2
"911",911,8
"912",912,2
"913",913,2
"914",914,7
"915",915,5
"916",916,7
"917",917,7
"918",918,6
"919",919,2
"920",920,1
"921",921,2
"922",922,8
"923",923,4
"924",924,5
"925",925,7
"926",926,4
"927",927,3
"928",928,6
"929",929,7
"930",930,2
"931",931,2
"932",932,3
"933",933,7
"934",934,3
"935",935,7
"936",936,4
"937",937,4
"938",938,7
"939",939,4
"940",940,6
"941",941,4
"942",942,4
"943",943,5
"944",944,7
"945",945,7
"946",946,3
"947",947,5
"948",948,7
"949",949,7
"950",950,2
"951",951,2
"952",952,3
"953",953,3
"954",954,7
"955",955,3
"956",956,4
"957",957,7
"958",958,4
"959",959,2
"960",960,7
"961",961,7
"962",962,6
"963",963,3
"964",964,7
"965",965,7
"966",966,7
"967",967,3
"968",968,4
"969",969,7
"970",970,3
"971",971,3
"972",972,2
"973",973,4
"974",974,7
"975",975,2
"976",976,4
"977",977,8
"978",978,2
"979",979,2
"980",980,6
"981",981,5
"982",982,3
"983",983,1
"984",984,2
"985",985,6
"986",986,2
"987",987,7
"988",988,2
"989",989,7
"990",990,7
"991",991,5
"992",992,7
"993",993,6
"994",994,7
"995",995,2
"996",996,2
"997",997,4
"998",998,2
"999",999,2
"1000",1000,5
"1001",1001,2
"1002",1002,1
"1003",1003,1
"1004",1004,6
"1005",1005,7
"1006",1006,1
"1007",1007,2
"1008",1008,2
"1009",1009,2
"1010",1010,6
"1011",1011,3
"1012",1012,6
"1013",1013,2
"1014",1014,1
"1015",1015,3
"1016",1016,7
"1017",1017,1
"1018",1018,3
"1019",1019,4
"1020",1020,7
"1021",1021,2
"1022",1022,5
"1023",1023,3
"1024",1024,7
"1025",1025,2
"1026",1026,2
"1027",1027,2
"1028",1028,4
"1029",1029,5
"1030",1030,6
"1031",1031,7
"1032",1032,2
"1033",1033,7
"1034",1034,6
"1035",1035,2
"1036",1036,4
"1037",1037,2
"1038",1038,4
"1039",1039,7
"1040",1040,2
"1041",1041,7
"1042",1042,3
"1043",1043,5
"1044",1044,7
"1045",1045,2
"1046",1046,3
"1047",1047,7
"1048",1048,2
"1049",1049,7
"1050",1050,2
"1051",1051,5
"1052",1052,8
"1053",1053,5
"1054",1054,6
"1055",1055,5
"1056",1056,6
"1057",1057,4
"1058",1058,6
"1059",1059,2
"1060",1060,2
"1061",1061,3
"1062",1062,2
"1063",1063,2
"1064",1064,3
"1065",1065,2
"1066",1066,2
"1067",1067,6
"1068",1068,6
"1069",1069,3
"1070",1070,2
"1071",1071,7
"1072",1072,2
"1073",1073,7
"1074",1074,3
"1075",1075,7
"1076",1076,8
"1077",1077,6
"1078",1078,4
"1079",1079,3
"1080",1080,7
"1081",1081,2
"1082",1082,2
"1083",1083,6
"1084",1084,2
"1085",1085,7
"1086",1086,2
"1087",1087,3
"1088",1088,7
"1089",1089,2
"1090",1090,2
"1091",1091,2
"1092",1092,7
"1093",1093,2
"1094",1094,3
"1095",1095,7
"1096",1096,2
"1097",1097,2
"1098",1098,6
"1099",1099,2
"1100",1100,5
"1101",1101,5
"1102",1102,4
"1103",1103,3
"1104",1104,2
"1105",1105,4
"1106",1106,4
"1107",1107,4
"1108",1108,6
"1109",1109,2
"1110",1110,2
"1111",1111,2
"1112",1112,4
"1113",1113,2
"1114",1114,2
"1115",1115,4
"1116",1116,4
"1117",1117,2
"1118",1118,5
"1119",1119,4
"1120",1120,7
"1121",1121,5
"1122",1122,7
"1123",1123,3
"1124",1124,7
"1125",1125,4
"1126",1126,8
"1127",1127,7
"1128",1128,7
"1129",1129,7
"1130",1130,3
"1131",1131,2
"1132",1132,5
"1133",1133,6
"1134",1134,3
"1135",1135,5
"1136",1136,4
"1137",1137,7
"1138",1138,2
"1139",1139,2
"1140",1140,7
"1141",1141,3
"1142",1142,3
"1143",1143,7
"1144",1144,7
"1145",1145,3
"1146",1146,5
"1147",1147,1
"1148",1148,5
"1149",1149,2
"1150",1150,7
"1151",1151,1
"1152",1152,7
"1153",1153,4
"1154",1154,2
"1155",1155,6
"1156",1156,2
"1157",1157,6
"1158",1158,7
"1159",1159,7
"1160",1160,2
"1161",1161,7
"1162",1162,2
"1163",1163,7
"1164",1164,6
"1165",1165,3
"1166",1166,6
"1167",1167,2
"1168",1168,7
"1169",1169,7
"1170",1170,8
"1171",1171,7
"1172",1172,2
"1173",1173,4
"1174",1174,7
"1175",1175,2
"1176",1176,3
"1177",1177,3
"1178",1178,5
"1179",1179,7
"1180",1180,1
"1181",1181,6
"1182",1182,1
"1183",1183,3
"1184",1184,7
"1185",1185,8
"1186",1186,7
"1187",1187,3
"1188",1188,7
"1189",1189,7
"1190",1190,3
"1191",1191,7
"1192",1192,7
"1193",1193,2
"1194",1194,7
"1195",1195,7
"1196",1196,2
"1197",1197,2
"1198",1198,3
"1199",1199,2
"1200",1200,7
"1201",1201,4
"1202",1202,2
"1203",1203,6
"1204",1204,2
"1205",1205,3
"1206",1206,3
"1207",1207,1
"1208",1208,1
"1209",1209,3
"1210",1210,2
"1211",1211,7
"1212",1212,7
"1213",1213,3
"1214",1214,6
"1215",1215,3
"1216",1216,3
"1217",1217,7
"1218",1218,7
"1219",1219,4
"1220",1220,4
"1221",1221,3
"1222",1222,2
"1223",1223,3
"1224",1224,3
"1225",1225,7
"1226",1226,7
"1227",1227,4
"1228",1228,7
"1229",1229,4
"1230",1230,3
"1231",1231,2
"1232",1232,6
"1233",1233,2
"1234",1234,7
"1235",1235,5
"1236",1236,2
"1237",1237,8
"1238",1238,6
"1239",1239,2
"1240",1240,2
"1241",1241,3
"1242",1242,6
"1243",1243,7
"1244",1244,4
"1245",1245,4
"1246",1246,2
"1247",1247,2
"1248",1248,3
"1249",1249,8
"1250",1250,5
"1251",1251,4
